salesorderid,customerid,orderdate,orderquantity,productid,unitprice,linetotal
43697,21768,2011-05-31,1,749,3578.27,3578.27
43698,28389,2011-05-31,1,773,3399.99,3399.99
43699,25863,2011-05-31,1,773,3399.99,3399.99
43700,14501,2011-05-31,1,767,699.0982,699.0982
43701,11003,2011-05-31,1,773,3399.99,3399.99
43702,27645,2011-06-01,1,750,3578.27,3578.27
43703,16624,2011-06-01,1,749,3578.27,3578.27
43704,11005,2011-06-01,1,778,3374.99,3374.99
43705,11011,2011-06-01,1,771,3399.99,3399.99
43706,27621,2011-06-02,1,751,3578.27,3578.27
43707,27616,2011-06-02,1,751,3578.27,3578.27
43708,20042,2011-06-02,1,764,699.0982,699.0982
43709,16351,2011-06-02,1,752,3578.27,3578.27
43710,16517,2011-06-02,1,753,3578.27,3578.27
43711,27606,2011-06-03,1,753,3578.27,3578.27
43712,13513,2011-06-03,1,750,3578.27,3578.27
43713,27601,2011-06-04,1,749,3578.27,3578.27
43714,13591,2011-06-04,1,750,3578.27,3578.27
43715,16483,2011-06-04,1,753,3578.27,3578.27
43716,16529,2011-06-04,1,750,3578.27,3578.27
43717,25249,2011-06-04,1,767,699.0982,699.0982
43718,27668,2011-06-05,1,750,3578.27,3578.27
43719,27612,2011-06-05,1,751,3578.27,3578.27
43720,13264,2011-06-05,1,750,3578.27,3578.27
43721,13590,2011-06-05,1,749,3578.27,3578.27
43722,13581,2011-06-06,1,751,3578.27,3578.27
43723,14520,2011-06-06,1,765,699.0982,699.0982
43724,16520,2011-06-06,1,750,3578.27,3578.27
43725,13258,2011-06-07,1,750,3578.27,3578.27
43726,14560,2011-06-07,1,765,699.0982,699.0982
43727,16607,2011-06-07,1,750,3578.27,3578.27
43728,27666,2011-06-08,1,752,3578.27,3578.27
43729,11238,2011-06-08,1,773,3399.99,3399.99
43730,25861,2011-06-08,1,773,3399.99,3399.99
43731,16629,2011-06-08,1,753,3578.27,3578.27
43732,11025,2011-06-08,1,777,3374.99,3374.99
43733,27577,2011-06-08,1,751,3578.27,3578.27
43734,27604,2011-06-09,1,751,3578.27,3578.27
43735,16522,2011-06-09,1,749,3578.27,3578.27
43736,11002,2011-06-09,1,773,3399.99,3399.99
43737,13261,2011-06-10,1,750,3578.27,3578.27
43738,11606,2011-06-10,1,751,3578.27,3578.27
43739,13563,2011-06-10,1,749,3578.27,3578.27
43740,16527,2011-06-10,1,751,3578.27,3578.27
43741,27671,2011-06-11,1,749,3578.27,3578.27
43742,13576,2011-06-11,1,753,3578.27,3578.27
43743,11007,2011-06-11,1,774,3399.99,3399.99
43744,16631,2011-06-11,1,752,3578.27,3578.27
43745,16514,2011-06-12,1,750,3578.27,3578.27
43746,16616,2011-06-12,1,751,3578.27,3578.27
43747,27623,2011-06-13,1,753,3578.27,3578.27
43748,27625,2011-06-13,1,752,3578.27,3578.27
43749,27636,2011-06-13,1,753,3578.27,3578.27
43750,11591,2011-06-13,1,750,3578.27,3578.27
43751,11592,2011-06-13,1,752,3578.27,3578.27
43752,13265,2011-06-13,1,750,3578.27,3578.27
43753,16482,2011-06-13,1,749,3578.27,3578.27
43754,27617,2011-06-14,1,751,3578.27,3578.27
43755,27670,2011-06-14,1,750,3578.27,3578.27
43756,19941,2011-06-14,1,765,699.0982,699.0982
