productid,productname,productnumber,categoryname,subcategoryname,productmodel,listprice
680,"HL Road Frame - Black, 58",FR-R92B-58,Components,Road Frames,HL Road Frame,1431.5
706,"HL Road Frame - Red, 58",FR-R92R-58,Components,Road Frames,HL Road Frame,1431.5
707,"Sport-100 Helmet, Red",HL-U509-R,Accessories,Helmets,Sport-100,34.99
708,"Sport-100 Helmet, Black",HL-U509,Accessories,Helmets,Sport-100,34.99
709,"Mountain Bike Socks, M",SO-B909-M,Clothing,Socks,Mountain Bike Socks,9.5
710,"Mountain Bike Socks, L",SO-B909-L,Clothing,Socks,Mountain Bike Socks,9.5
711,"Sport-100 Helmet, Blue",HL-U509-B,Accessories,Helmets,Sport-100,34.99
712,AWC Logo Cap,CA-1098,Clothing,Caps,Cycling Cap,8.99
713,"Long-Sleeve Logo Jersey, S",LJ-0192-S,Clothing,Jerseys,Long-Sleeve Logo Jersey,49.99
714,"Long-Sleeve Logo Jersey, M",LJ-0192-M,Clothing,Jerseys,Long-Sleeve Logo Jersey,49.99
715,"Long-Sleeve Logo Jersey, L",LJ-0192-L,Clothing,Jerseys,Long-Sleeve Logo Jersey,49.99
716,"Long-Sleeve Logo Jersey, XL",LJ-0192-X,Clothing,Jerseys,Long-Sleeve Logo Jersey,49.99
717,"HL Road Frame - Red, 62",FR-R92R-62,Components,Road Frames,HL Road Frame,1431.5
718,"HL Road Frame - Red, 44",FR-R92R-44,Components,Road Frames,HL Road Frame,1431.5
719,"HL Road Frame - Red, 48",FR-R92R-48,Components,Road Frames,HL Road Frame,1431.5
720,"HL Road Frame - Red, 52",FR-R92R-52,Components,Road Frames,HL Road Frame,1431.5
721,"HL Road Frame - Red, 56",FR-R92R-56,Components,Road Frames,HL Road Frame,1431.5
722,"LL Road Frame - Black, 58",FR-R38B-58,Components,Road Frames,LL Road Frame,337.22
723,"LL Road Frame - Black, 60",FR-R38B-60,Components,Road Frames,LL Road Frame,337.22
724,"LL Road Frame - Black, 62",FR-R38B-62,Components,Road Frames,LL Road Frame,337.22
725,"LL Road Frame - Red, 44",FR-R38R-44,Components,Road Frames,LL Road Frame,337.22
726,"LL Road Frame - Red, 48",FR-R38R-48,Components,Road Frames,LL Road Frame,337.22
727,"LL Road Frame - Red, 52",FR-R38R-52,Components,Road Frames,LL Road Frame,337.22
728,"LL Road Frame - Red, 58",FR-R38R-58,Components,Road Frames,LL Road Frame,337.22
729,"LL Road Frame - Red, 60",FR-R38R-60,Components,Road Frames,LL Road Frame,337.22
730,"LL Road Frame - Red, 62",FR-R38R-62,Components,Road Frames,LL Road Frame,337.22
731,"ML Road Frame - Red, 44",FR-R72R-44,Components,Road Frames,ML Road Frame,594.83
732,"ML Road Frame - Red, 48",FR-R72R-48,Components,Road Frames,ML Road Frame,594.83
733,"ML Road Frame - Red, 52",FR-R72R-52,Components,Road Frames,ML Road Frame,594.83
734,"ML Road Frame - Red, 58",FR-R72R-58,Components,Road Frames,ML Road Frame,594.83
735,"ML Road Frame - Red, 60",FR-R72R-60,Components,Road Frames,ML Road Frame,594.83
736,"LL Road Frame - Black, 44",FR-R38B-44,Components,Road Frames,LL Road Frame,337.22
737,"LL Road Frame - Black, 48",FR-R38B-48,Components,Road Frames,LL Road Frame,337.22
738,"LL Road Frame - Black, 52",FR-R38B-52,Components,Road Frames,LL Road Frame,337.22
739,"HL Mountain Frame - Silver, 42",FR-M94S-42,Components,Mountain Frames,HL Mountain Frame,1364.5
740,"HL Mountain Frame - Silver, 44",FR-M94S-44,Components,Mountain Frames,HL Mountain Frame,1364.5
741,"HL Mountain Frame - Silver, 48",FR-M94S-52,Components,Mountain Frames,HL Mountain Frame,1364.5
742,"HL Mountain Frame - Silver, 46",FR-M94S-46,Components,Mountain Frames,HL Mountain Frame,1364.5
743,"HL Mountain Frame - Black, 42",FR-M94B-42,Components,Mountain Frames,HL Mountain Frame,1349.6
744,"HL Mountain Frame - Black, 44",FR-M94B-44,Components,Mountain Frames,HL Mountain Frame,1349.6
745,"HL Mountain Frame - Black, 48",FR-M94B-48,Components,Mountain Frames,HL Mountain Frame,1349.6
746,"HL Mountain Frame - Black, 46",FR-M94B-46,Components,Mountain Frames,HL Mountain Frame,1349.6
747,"HL Mountain Frame - Black, 38",FR-M94B-38,Components,Mountain Frames,HL Mountain Frame,1349.6
748,"HL Mountain Frame - Silver, 38",FR-M94S-38,Components,Mountain Frames,HL Mountain Frame,1364.5
749,"Road-150 Red, 62",BK-R93R-62,Bikes,Road Bikes,Road-150,3578.27
750,"Road-150 Red, 44",BK-R93R-44,Bikes,Road Bikes,Road-150,3578.27
751,"Road-150 Red, 48",BK-R93R-48,Bikes,Road Bikes,Road-150,3578.27
752,"Road-150 Red, 52",BK-R93R-52,Bikes,Road Bikes,Road-150,3578.27
753,"Road-150 Red, 56",BK-R93R-56,Bikes,Road Bikes,Road-150,3578.27
754,"Road-450 Red, 58",BK-R68R-58,Bikes,Road Bikes,Road-450,1457.99
755,"Road-450 Red, 60",BK-R68R-60,Bikes,Road Bikes,Road-450,1457.99
756,"Road-450 Red, 44",BK-R68R-44,Bikes,Road Bikes,Road-450,1457.99
757,"Road-450 Red, 48",BK-R68R-48,Bikes,Road Bikes,Road-450,1457.99
758,"Road-450 Red, 52",BK-R68R-52,Bikes,Road Bikes,Road-450,1457.99
759,"Road-650 Red, 58",BK-R50R-58,Bikes,Road Bikes,Road-650,782.99
760,"Road-650 Red, 60",BK-R50R-60,Bikes,Road Bikes,Road-650,782.99
761,"Road-650 Red, 62",BK-R50R-62,Bikes,Road Bikes,Road-650,782.99
762,"Road-650 Red, 44",BK-R50R-44,Bikes,Road Bikes,Road-650,782.99
763,"Road-650 Red, 48",BK-R50R-48,Bikes,Road Bikes,Road-650,782.99
764,"Road-650 Red, 52",BK-R50R-52,Bikes,Road Bikes,Road-650,782.99
765,"Road-650 Black, 58",BK-R50B-58,Bikes,Road Bikes,Road-650,782.99
766,"Road-650 Black, 60",BK-R50B-60,Bikes,Road Bikes,Road-650,782.99
767,"Road-650 Black, 62",BK-R50B-62,Bikes,Road Bikes,Road-650,782.99
768,"Road-650 Black, 44",BK-R50B-44,Bikes,Road Bikes,Road-650,782.99
769,"Road-650 Black, 48",BK-R50B-48,Bikes,Road Bikes,Road-650,782.99
770,"Road-650 Black, 52",BK-R50B-52,Bikes,Road Bikes,Road-650,782.99
771,"Mountain-100 Silver, 38",BK-M82S-38,Bikes,Mountain Bikes,Mountain-100,3399.99
772,"Mountain-100 Silver, 42",BK-M82S-42,Bikes,Mountain Bikes,Mountain-100,3399.99
773,"Mountain-100 Silver, 44",BK-M82S-44,Bikes,Mountain Bikes,Mountain-100,3399.99
774,"Mountain-100 Silver, 48",BK-M82S-48,Bikes,Mountain Bikes,Mountain-100,3399.99
775,"Mountain-100 Black, 38",BK-M82B-38,Bikes,Mountain Bikes,Mountain-100,3374.99
776,"Mountain-100 Black, 42",BK-M82B-42,Bikes,Mountain Bikes,Mountain-100,3374.99
777,"Mountain-100 Black, 44",BK-M82B-44,Bikes,Mountain Bikes,Mountain-100,3374.99
778,"Mountain-100 Black, 48",BK-M82B-48,Bikes,Mountain Bikes,Mountain-100,3374.99
779,"Mountain-200 Silver, 38",BK-M68S-38,Bikes,Mountain Bikes,Mountain-200,2319.99
780,"Mountain-200 Silver, 42",BK-M68S-42,Bikes,Mountain Bikes,Mountain-200,2319.99
781,"Mountain-200 Silver, 46",BK-M68S-46,Bikes,Mountain Bikes,Mountain-200,2319.99
782,"Mountain-200 Black, 38",BK-M68B-38,Bikes,Mountain Bikes,Mountain-200,2294.99
783,"Mountain-200 Black, 42",BK-M68B-42,Bikes,Mountain Bikes,Mountain-200,2294.99
784,"Mountain-200 Black, 46",BK-M68B-46,Bikes,Mountain Bikes,Mountain-200,2294.99
785,"Mountain-300 Black, 38",BK-M47B-38,Bikes,Mountain Bikes,Mountain-300,1079.99
786,"Mountain-300 Black, 40",BK-M47B-40,Bikes,Mountain Bikes,Mountain-300,1079.99
787,"Mountain-300 Black, 44",BK-M47B-44,Bikes,Mountain Bikes,Mountain-300,1079.99
788,"Mountain-300 Black, 48",BK-M47B-48,Bikes,Mountain Bikes,Mountain-300,1079.99
789,"Road-250 Red, 44",BK-R89R-44,Bikes,Road Bikes,Road-250,2443.35
790,"Road-250 Red, 48",BK-R89R-48,Bikes,Road Bikes,Road-250,2443.35
791,"Road-250 Red, 52",BK-R89R-52,Bikes,Road Bikes,Road-250,2443.35
792,"Road-250 Red, 58",BK-R89R-58,Bikes,Road Bikes,Road-250,2443.35
793,"Road-250 Black, 44",BK-R89B-44,Bikes,Road Bikes,Road-250,2443.35
794,"Road-250 Black, 48",BK-R89B-48,Bikes,Road Bikes,Road-250,2443.35
795,"Road-250 Black, 52",BK-R89B-52,Bikes,Road Bikes,Road-250,2443.35
796,"Road-250 Black, 58",BK-R89B-58,Bikes,Road Bikes,Road-250,2443.35
797,"Road-550-W Yellow, 38",BK-R64Y-38,Bikes,Road Bikes,Road-550-W,1120.49
798,"Road-550-W Yellow, 40",BK-R64Y-40,Bikes,Road Bikes,Road-550-W,1120.49
799,"Road-550-W Yellow, 42",BK-R64Y-42,Bikes,Road Bikes,Road-550-W,1120.49
800,"Road-550-W Yellow, 44",BK-R64Y-44,Bikes,Road Bikes,Road-550-W,1120.49
801,"Road-550-W Yellow, 48",BK-R64Y-48,Bikes,Road Bikes,Road-550-W,1120.49
802,LL Fork,FK-1639,Components,Forks,LL Fork,148.22
803,ML Fork,FK-5136,Components,Forks,ML Fork,175.49
804,HL Fork,FK-9939,Components,Forks,HL Fork,229.49
805,LL Headset,HS-0296,Components,Headsets,LL Headset,34.2
806,ML Headset,HS-2451,Components,Headsets,ML Headset,102.29
807,HL Headset,HS-3479,Components,Headsets,HL Headset,124.73
